base,ligand,aryl_halide,additive
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,None
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,t-BuBrettPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
,AdBrettPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
,,1-bromo-4-methoxybenzene,4-phenylisoxazole
,,1-iodo-4-methoxybenzene,3-phenylisoxazole
,,1-chloro-4-ethylbenzene,3-methylisoxazole
,,1-bromo-4-ethylbenzene,"5-Phenyl-1,2,4-oxadiazole"
,,1-ethyl-4-iodobenzene,5-methylisoxazole
,,2-chloropyridine,benzo[c]isoxazole
,,2-bromopyridine,"3,5-dimethylisoxazole"
,,2-iodopyridine,methyl-isoxazole-5-carboxylate
,,3-chloropyridine,ethyl-isoxazole-3-carboxylate
,,3-bromopyridine,ethyl-5-methylisoxazole-4-carboxylate
,,3-iodopyridine,ethyl-isoxazole-4-carboxylate
,,,benzo[d]isoxazole
,,,ethyl-3-methoxyisoxazole-5-carboxylate
,,,3-methyl-5-phenylisoxazole
,,,"N,N-dibenzylisoxazol-3-amine"
,,,methyl-5-(furan-2-yl)isoxazole-3-carboxylate
,,,"5-(2,6-difluorophenyl)isoxazole"
,,,"N,N-dibenzylisoxazol-5-amine"
,,,5-methyl-3-(1H-pyrrol-1-yl)isoxazole
,,,methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate
